Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Media
10363429418,"Dec 11, 2023, 1:56:02 PM",Morning Run,Run,Indoor,1690,0.95,143.0,0,false,,Nike Pegasus 40,activities/11093885965.tcx.gz,,,1690.0,189.0,955.4,8.554,5.055,2.0,0.0,10.0,12.2,8.3,0.1,,,83.0,67.0,,129.0,,,141.0,,,0.0,,,,,,,,,,,0.0,,0.0,,1.0,964.0,,,,,,,,,,,,,,,,18611020.0,,,,,,,,,,0.0,0.565,0.0,,,,,,,,,,,,,,,,,,,""
10386950747,"Dec 16, 2023, 4:42:39 AM",Afternoon Run,Run,"",1497,3.22,172.0,39,false,,Nike Pegasus 40,activities/11118351267.tcx.gz,,,1497.0,1490.0,3224.0,3.05,2.164,0.0,0.0,12.8,14.5,4.5,0.0,,,85.0,82.0,,156.0,,,251.0,,,39.0,,,,,,,,,,,0.0,,0.0,,1.0,3229.1,,,,,,,,,,,,,,,,18611020.0,,,,,,,,,,0.0,2.154,0.0,,,,,,,,,,,,,,,,,,,""
10422761523,"Dec 23, 2023, 6:21:27 AM",Afternoon Run,Run,"",1823,4.06,133.0,7,false,,Nike Pegasus 40,activities/11155329951.tcx.gz,,,1823.0,1820.0,4068.5,3.228,2.235,2.0,0.0,12.6,14.7,5.8,0.0,,,85.0,82.0,,129.0,,,305.0,,,7.0,,,,,,,,,,,0.0,,0.0,,1.0,4073.8,,,,,,,,,,,,,,,,18611020.0,,,,,,,,,,0.0,2.232,0.0,,,,,,,,,,,,,,,,,,,""
10432748013,"Dec 25, 2023, 2:31:49 AM",Lunch Run,Run,"",1835,4.05,139.0,8,false,,Nike Pegasus 40,activities/11165733042.tcx.gz,,,1835.0,1827.0,4057.1,3.458,2.221,0.0,0.0,11.5,13.0,1.9,0.0,,,85.0,81.0,,131.0,,,308.0,,,8.0,,,,,,,,,,,0.0,,0.0,,1.0,4058.8,1703469568.0,2.0,0.2,-1.4,-2.7,0.81,1029.6,1.4,4.3,297.0,0.0,1703457920.0,1703492352.0,0.375,,18611020.0,0.41,6.0,0.62,19301.0,1.0,,,,,0.0,2.211,0.0,,,,,,,,,,,,,,,,,,,""
10453282612,"Dec 28, 2023, 10:28:37 PM",Morning Run,Run,"",1928,4.29,175.0,35,false,,Nike Pegasus 40,activities/11187089734.tcx.gz,,,1928.0,1914.0,4291.0,5.581,2.242,0.0,0.0,12.1,13.7,2.0,0.0,,,85.0,81.0,,150.0,,,320.0,,,35.0,,,,,,,,,,,0.0,,0.0,,1.0,4293.7,1703800832.0,2.0,-2.9,-3.6,-5.2,0.84,1028.8,1.0,1.5,83.0,0.0,1703803520.0,1703838080.0,0.625,,18611020.0,0.0,1.0,0.42,21396.0,0.0,,,,,0.0,2.226,0.0,,,,,,,,,,,,,,,,,,,""
10471618134,"Jan 1, 2024, 4:54:04 AM",Afternoon Run,Run,"",2125,5.10,164.0,38,false,,Nike Pegasus 40,activities/11206150832.tcx.gz,,,2125.0,2055.0,5101.5,10.818,2.482,11.8,12.9,4.5,17.2,9.9,0.0,,,85.0,82.0,,147.0,,,377.0,,,38.0,,,,,,,,,,,0.0,,0.0,,1.0,5138.4,1704081664.0,2.0,5.2,4.3,0.5,0.72,1028.4,1.0,3.9,152.0,0.0,1704062848.0,1704097408.0,0.625,,18611020.0,0.0,1.0,0.48,24584.0,2.0,,,,,0.0,2.401,0.0,,,,,,,,,,,,,,,,,,,""
10476038286,"Jan 1, 2024, 9:03:34 PM",Morning Run,Run,"",2044,4.54,181.0,61,false,,Nike Pegasus 40,activities/11210744803.tcx.gz,,,2044.0,2017.0,4546.6,3.781,2.254,82.8,88.5,11.9,19.6,20.6,-0.2,,,85.0,80.0,,158.0,,,337.0,,,61.0,,,,,,,,,,,0.0,,0.0,,1.0,4873.2,1704142848.0,3.0,0.5,-0.3,-0.4,0.94,1023.5,0.9,2.5,300.0,0.0,1704149248.0,1704183936.0,0.625,,18611020.0,0.0,1.0,0.96,15466.0,0.0,,,,,0.0,2.224,0.0,,,,,,,,,,,,,,,,,,,""
10497476261,"Jan 5, 2024, 9:43:42 AM",Evening Run,Run,"",1715,4.41,172.0,43,false,,Nike Pegasus 40,activities/11233035387.tcx.gz,,,1715.0,1658.0,4409.2,12.243,2.659,20.7,22.5,4.2,21.9,28.9,0.0,,,84.0,80.0,,153.0,,,317.0,,,43.0,,,,,,,,,,,0.0,,0.0,,1.0,4493.9,1704445184.0,1.0,4.2,2.0,0.7,0.78,1020.5,2.5,6.2,257.0,0.0,1704408448.0,1704443264.0,0.75,,18611020.0,0.0,1.0,0.13,21859.0,0.0,,,,,0.0,2.571,0.0,,,,,,,,,,,,,,,,,,,""
10508969712,"Jan 7, 2024, 2:58:29 AM",Lunch Run,Run,"",3120,7.38,162.0,54,false,,Nike Pegasus 40,activities/11245274997.tcx.gz,,,3120.0,2842.0,7383.5,16.75,2.598,14.1,14.1,9.7,22.1,16.5,0.0,,,84.0,82.0,,145.0,,,538.0,,,54.0,,,,,,,,,,,0.0,,0.0,,1.0,7433.6,1704592768.0,1.0,-3.3,-9.2,-12.5,0.49,1027.8,5.2,13.0,305.0,0.0,1704581248.0,1704616192.0,0.875,,18611020.0,0.0,1.0,0.08,26798.0,1.0,,,,,2.0,2.367,0.0,,,,,,,,,,,,,,,,,,,""
10520607971,"Jan 8, 2024, 9:18:03 PM",Morning Run,Run,"",1863,4.41,172.0,50,false,,Nike Pegasus 40,activities/11257402547.tcx.gz,,,1863.0,1827.0,4414.6,5.036,2.416,82.3,85.6,12.8,19.6,21.7,-0.1,,,83.0,79.0,,155.0,,,325.0,,,50.0,,,,,,,,,,,0.0,,0.0,,1.0,4768.2,1704747648.0,3.0,-2.0,-5.1,-5.5,0.77,1021.3,2.2,5.0,135.0,0.0,1704754048.0,1704789120.0,0.875,,18611020.0,0.68,6.0,0.88,12135.0,0.0,,,,,0.0,2.37,0.0,,,,,,,,,,,,,,,,,,,""
